Date,Bid,Ask
January,44.27062,44.29191
February,44.09761,44.12480
March,43.96860,44.00259
April,42.24764,42.26979
May,40.84914,40.86676
June,40.79958,40.81072
July,40.43884,40.44829
August,40.77511,40.78638
September,40.37183,40.38143
October,39.54032,39.54984
November,39.45053,39.45997
December,39.46874,39.47839
January,39.35565,39.36519
February,39.69853,39.70811
March,40.31257,40.32241
April,40.01136,40.02107
May,42.00015,42.01155
June,42.81134,42.82065
July,42.81890,42.85846
August,42.92804,43.01061
September,45.51426,45.61134
October,49.60835,50.11125
November,49.31751,50.10542
December,48.90455,49.66895
January,49.08353,49.71919
February,49.18590,49.66042
March,51.60339,52.09307
April,50.16857,50.61806
May,48.56734,48.98695
June,47.81966,48.26573
July,48.40033,48.84814
August,48.13770,48.61461
September,48.37107,48.81542
October,46.70040,47.06133
November,46.53600,46.74186
December,46.55936,46.82223
January,46.00513,46.17700
February,46.28801,46.47286
March,45.47624,45.50036
April,44.46709,44.56716
May,45.69466,45.90534
June,46.52460,46.69058
July,46.83456,46.96889
August,46.47893,46.69604
September,46.04205,46.33208
October,44.35955,44.67014
November,44.98511,45.41518
December,45.45486,45.86617
January,45.64073,46.07774
February,45.51439,45.89364
March,45.37633,45.71022
April,44.62385,44.99721
May,44.88202,45.29827
June,45.17889,45.54863
July,44.55598,44.93912
August,45.28086,45.66626
September,47.61792,48.04853
October,49.52090,49.94935
November,50.79832,51.11289
December,53.06747,53.47385
January,51.90899,52.35538
February,49.41132,49.78031
March,50.69886,51.12974
April,52.18346,52.62779
May,54.46924,54.86156
June,55.84763,56.23719
July,55.18529,55.42681
August,55.35552,55.52684
September,54.23081,54.41294
October,52.85816,53.04160
November,54.68907,54.84920
December,54.55741,54.72232
January,54.22478,54.37615
February,53.73860,53.91210
March,54.36514,54.53449
April,54.19327,54.36226
May,54.65946,54.80029
June,58.18461,58.26840
July,59.76055,59.84605
August,62.78725,62.89621
September,63.77775,64.04635
October,61.19093,61.35409
November,62.44026,62.59247
December,61.67184,61.82887
January,61.81600,61.95708
February,61.98419,62.13095
March,60.97823,61.12322
April,60.29587,60.45622
May,59.15303,59.30187
June,59.56119,59.69855
July,59.88647,60.01524
August,60.76214,60.90003
September,60.76016,60.88209
October,61.26613,61.38706
November,61.50872,61.62740
December,62.78776,62.90986
January,62.16063,62.28523
February,62.00524,62.12954
March,62.41041,62.53659
April,62.51049,62.70022
May,63.64211,63.82684
June,63.71710,63.90676
July,63.41859,63.60572
August,64.91251,65.10127
September,66.18304,66.36655
October,64.92454,65.10696
November,65.97742,66.15809
December,66.38642,66.55246
January,67.10470,67.27310
February,68.14488,68.32651
March,66.92786,67.10686
April,66.37814,66.55986
May,66.84841,67.03535
June,67.20411,67.38605
July,67.08001,67.26395
August,66.83823,67.02216
September,66.71956,66.90128
October,66.60404,66.79098
November,67.48646,67.66476
December,67.72351,67.90315
January,68.00176,68.18780
February,66.93572,67.11492
March,65.84075,66.01697
April,64.48739,64.67223
May,64.32239,64.49932
*June,64.28778,64.45913
