Date,Close,Volume,MarketCap,PriceToEarn,PriceToBook,PriceToCash,EV,MarketCapToSales,ROE,EPS,DIV
201612.0,240.95,13955725.0,292065.13,31.24,8.03,27.83,16.03,5.08,30.98,10.5,0.0
201611.0,232.9,23531456.0,282260.83,31.24,8.03,27.83,16.03,5.08,30.98,10.5,0.0
201610.0,241.9,25926058.0,293064.27,31.24,8.03,27.83,16.03,5.08,30.98,10.5,0.0
201609.0,241.55,17204959.0,292555.7,31.24,8.03,27.83,16.03,5.08,30.98,10.5,0.0
201608.0,260.05,20950850.0,314650.1,31.24,8.03,27.83,16.03,5.08,30.98,10.5,0.0
201607.0,252.45,21817968.0,305222.15,31.24,8.03,27.83,16.03,5.08,30.98,10.5,0.0
201606.0,245.4,9515095.0,296441.97,31.24,8.03,27.83,16.03,5.08,30.98,10.5,0.0
201605.0,234.4,16541421.0,282939.55,31.24,8.03,27.83,16.03,5.08,30.98,10.5,0.0
201604.0,216.53,8027837.0,261373.06,31.24,8.03,27.83,16.03,5.08,30.98,10.5,0.0
201603.0,218.7,17951099.0,263988.4,31.24,8.03,27.83,16.03,5.08,30.98,10.5,0.0
201602.0,197.2,13290475.0,237843.91,31.24,8.03,27.83,16.03,5.08,30.98,10.5,0.0
201601.0,213.0,4864867.0,256823.69,31.24,8.03,27.83,16.03,5.08,30.98,10.5,0.0
201512.0,218.4,8430515.0,263282.29,30.39,8.5,27.32,16.85,5.18,33.77,10.71,0.0
201511.0,228.8,4417053.0,275671.97,30.39,8.5,27.32,16.85,5.18,33.77,10.71,0.0
201510.0,223.13,7531844.0,268723.94,30.39,8.5,27.32,16.85,5.18,33.77,10.71,0.0
201509.0,219.27,13833419.0,263991.59,30.39,8.5,27.32,16.85,5.18,33.77,10.71,0.0
201508.0,216.87,10769288.0,261001.2,30.39,8.5,27.32,16.85,5.18,33.77,10.71,0.0
201507.0,217.47,8660314.0,261569.99,30.39,8.5,27.32,16.85,5.18,33.77,10.71,0.0
201506.0,210.03,10014661.0,252528.33,30.39,8.5,27.32,16.85,5.18,33.77,10.71,0.0
201505.0,217.83,10242320.0,261906.46,30.39,8.5,27.32,16.85,5.18,33.77,10.71,0.0
201504.0,214.83,7304279.0,258299.49,30.39,8.5,27.32,16.85,5.18,33.77,10.71,0.0
201503.0,216.97,28535078.0,260864.45,30.39,8.5,27.32,16.85,5.18,33.77,10.71,0.0
201502.0,240.83,16577820.0,289202.3,30.39,8.5,27.32,16.85,5.18,33.77,10.71,0.0
201501.0,245.73,11315173.0,294876.31,30.39,8.5,27.32,16.85,5.18,33.77,10.71,0.0
201412.0,245.6,8930109.0,294550.54,35.19,10.71,31.63,20.43,5.96,36.27,10.03,0.0
201411.0,242.0,11823989.0,289920.84,35.19,10.71,31.63,20.43,5.96,36.27,10.03,0.0
201410.0,236.83,5414281.0,283514.37,35.19,10.71,31.63,20.43,5.96,36.27,10.03,0.0
201409.0,247.17,7698903.0,295647.17,35.19,10.71,31.63,20.43,5.96,36.27,10.03,0.0
201408.0,236.77,4219423.0,282962.21,35.19,10.71,31.63,20.43,5.96,36.27,10.03,0.0
201407.0,237.47,11781251.0,283592.19,35.19,10.71,31.63,20.43,5.96,36.27,10.03,0.0
201406.0,216.6,20254058.0,258399.47,35.19,10.71,31.63,20.43,5.96,36.27,10.03,0.0
201405.0,227.67,11543696.0,271601.78,35.19,10.71,31.63,20.43,5.96,36.27,10.03,0.0
201404.0,227.17,13083081.0,271005.29,35.19,10.71,31.63,20.43,5.96,36.27,10.03,0.0
201403.0,235.3,7628669.0,280708.19,35.19,10.71,31.63,20.43,5.96,36.27,10.03,0.0
201402.0,218.33,6967070.0,260231.5,35.19,10.71,31.63,20.43,5.96,36.27,10.03,0.0
