Date,Close,Volume,MarketCap,PriceToEarn,PriceToBook,PriceToCash,EV,MarketCapToSales,ROE,EPS,DIV
200701.0,107.38,7878367.0,59895.57,11.83,1.67,10.41,15.64,1.17,15.41,83.91,14.94
200702.0,98.05,9153959.0,54690.46,11.83,1.67,10.41,15.64,1.17,15.41,83.91,14.94
200703.0,93.68,11977985.0,52256.33,11.83,1.67,10.41,15.64,1.17,15.41,83.91,14.94
200704.0,104.28,11238232.0,58169.31,11.83,1.67,10.41,15.64,1.17,15.41,83.91,14.94
200705.0,127.6,13224676.0,71176.81,11.83,1.67,10.41,15.64,1.17,15.41,83.91,14.94
200706.0,143.92,14153753.0,80276.54,11.83,1.67,10.41,15.64,1.17,15.41,83.91,14.94
200707.0,153.27,12576626.0,85497.44,11.83,1.67,10.41,15.64,1.17,15.41,83.91,14.94
200708.0,150.92,17193265.0,84181.69,11.83,1.67,10.41,15.64,1.17,15.41,83.91,14.94
200709.0,184.05,9832433.0,102665.34,11.83,1.67,10.41,15.64,1.17,15.41,83.91,14.94
200710.0,195.13,15786123.0,108846.73,11.83,1.67,10.41,15.64,1.17,15.41,83.91,14.94
200711.0,217.04,11680697.0,121064.79,11.83,1.67,10.41,15.64,1.17,15.41,83.91,14.94
200712.0,223.71,4411073.0,124785.73,11.83,1.67,10.41,15.64,1.17,15.41,83.91,14.94
200801.0,216.23,8297577.0,136539.6,15.38,2.06,13.94,14.46,1.73,16.75,103.94,13.45
200802.0,210.97,7394770.0,133221.23,15.38,2.06,13.94,14.46,1.73,16.75,103.94,13.45
200803.0,159.89,9664390.0,100962.58,15.38,2.06,13.94,14.46,1.73,16.75,103.94,13.45
200804.0,177.64,7117291.0,112171.17,15.38,2.06,13.94,14.46,1.73,16.75,103.94,13.45
200805.0,144.34,6997035.0,91635.4,15.38,2.06,13.94,14.46,1.73,16.75,103.94,13.45
200806.0,111.15,9521584.0,70563.74,15.38,2.06,13.94,14.46,1.73,16.75,103.94,13.45
200807.0,141.48,14829855.0,89819.65,15.38,2.06,13.94,14.46,1.73,16.75,103.94,13.45
200808.0,140.36,15650612.0,89111.76,15.38,2.06,13.94,14.46,1.73,16.75,103.94,13.45
200809.0,146.57,19773387.0,93051.19,15.38,2.06,13.94,14.46,1.73,16.75,103.94,13.45
200810.0,110.95,23087966.0,70439.94,15.38,2.06,13.94,14.46,1.73,16.75,103.94,13.45
200811.0,108.69,24622750.0,69001.93,15.38,2.06,13.94,14.46,1.73,16.75,103.94,13.45
200812.0,128.83,30533355.0,81788.42,15.38,2.06,13.94,14.46,1.73,16.75,103.94,13.45
200901.0,115.22,20974521.0,73150.87,7.63,1.17,7.03,13.64,0.89,17.05,139.76,27.19
200902.0,102.71,14442736.0,65208.52,7.63,1.17,7.03,13.64,0.89,17.05,139.76,27.19
200903.0,106.66,22660043.0,67713.13,7.63,1.17,7.03,13.64,0.89,17.05,139.76,27.19
200904.0,127.77,18094364.0,81118.62,7.63,1.17,7.03,13.64,0.89,17.05,139.76,27.19
200905.0,186.91,17712287.0,118665.42,7.63,1.17,7.03,13.64,0.89,17.05,139.76,27.19
200906.0,174.21,13840435.0,110599.27,7.63,1.17,7.03,13.64,0.89,17.05,139.76,27.19
200907.0,181.4,13891852.0,115167.23,7.63,1.17,7.03,13.64,0.89,17.05,139.76,27.19
200908.0,174.31,8715987.0,110662.76,7.63,1.17,7.03,13.64,0.89,17.05,139.76,27.19
200909.0,219.57,9537712.0,139400.6,7.63,1.17,7.03,13.64,0.89,17.05,139.76,27.19
200910.0,219.1,15641731.0,139102.21,7.63,1.17,7.03,13.64,0.89,17.05,139.76,27.19
200911.0,223.82,13753722.0,142095.67,7.63,1.17,7.03,13.64,0.89,17.05,139.76,27.19
200912.0,226.95,11630081.0,144082.84,7.63,1.17,7.03,13.64,0.89,17.05,139.76,27.19
201001.0,205.8,9847944.0,130658.3,14.78,2.0,13.38,15.33,1.54,14.8,140.65,14.43
201002.0,197.59,9476924.0,125442.76,14.78,2.0,13.38,15.33,1.54,14.8,140.65,14.43
201003.0,207.9,7308103.0,131991.55,14.78,2.0,13.38,15.33,1.54,14.8,140.65,14.43
201004.0,229.8,8531346.0,145892.25,14.78,2.0,13.38,15.33,1.54,14.8,140.65,14.43
201005.0,226.84,10267643.0,144013.0,14.78,2.0,13.38,15.33,1.54,14.8,140.65,14.43
201006.0,230.21,8532327.0,146155.72,14.78,2.0,13.38,15.33,1.54,14.8,140.65,14.43
201007.0,250.38,6994412.0,158961.25,14.78,2.0,13.38,15.33,1.54,14.8,140.65,14.43
201008.0,276.49,10291785.0,175567.98,14.78,2.0,13.38,15.33,1.54,14.8,140.65,14.43
201009.0,323.32,9594444.0,205308.2,14.78,2.0,13.38,15.33,1.54,14.8,140.65,14.43
201010.0,315.12,5649520.0,200101.2,14.78,2.0,13.38,15.33,1.54,14.8,140.65,14.43
201011.0,299.41,13816006.0,190125.35,14.78,2.0,13.38,15.33,1.54,14.8,140.65,14.43
201012.0,281.11,14472592.0,178501.68,14.78,2.0,13.38,15.33,1.54,14.8,140.65,14.43
201101.0,264.11,15716634.0,167706.68,21.92,2.7,19.51,17.07,1.81,12.62,126.27,10.84
201102.0,263.2,12435272.0,167132.0,21.92,2.7,19.51,17.07,1.81,12.62,126.27,10.84
201103.0,276.79,9282295.0,175761.65,21.92,2.7,19.51,17.07,1.81,12.62,126.27,10.84
201104.0,280.56,5965668.0,178155.6,21.92,2.7,19.51,17.07,1.81,12.62,126.27,10.84
201105.0,229.78,15309240.0,145910.3,21.92,2.7,19.51,17.07,1.81,12.62,126.27,10.84
201106.0,240.6,9558419.0,152777.83,21.92,2.7,19.51,17.07,1.81,12.62,126.27,10.84
201107.0,234.2,6799990.0,148717.0,21.92,2.7,19.51,17.07,1.81,12.62,126.27,10.84
201108.0,197.45,11329884.0,125380.75,21.92,2.7,19.51,17.07,1.81,12.62,126.27,10.84
201109.0,191.11,14362191.0,121354.85,21.92,2.7,19.51,17.07,1.81,12.62,126.27,10.84
201110.0,190.67,15159361.0,121075.45,21.92,2.7,19.51,17.07,1.81,12.62,126.27,10.84
201111.0,176.29,17072415.0,111940.98,21.92,2.7,19.51,17.07,1.81,12.62,126.27,10.84
201112.0,161.95,17438292.0,102838.25,21.92,2.7,19.51,17.07,1.81,12.62,126.27,10.84
201201.0,206.11,12217207.0,130876.68,12.32,1.67,11.32,14.26,1.16,15.72,170.05,16.71
201202.0,224.34,17328871.0,142455.9,12.32,1.67,11.32,14.26,1.16,15.72,170.05,16.71
201203.0,209.5,14690680.0,140582.88,12.32,1.67,11.32,14.26,1.16,15.72,170.05,16.71
201204.0,213.8,10599834.0,143465.0,12.32,1.67,11.32,14.26,1.16,15.72,170.05,16.71
201205.0,205.56,18293462.0,137938.98,12.32,1.67,11.32,14.26,1.16,15.72,170.05,16.71
201206.0,215.92,15356373.0,144887.6,12.32,1.67,11.32,14.26,1.16,15.72,170.05,16.71
201207.0,200.52,10695062.0,134556.94,12.32,1.67,11.32,14.26,1.16,15.72,170.05,16.71
201208.0,184.5,12831954.0,123806.88,12.32,1.67,11.32,14.26,1.16,15.72,170.05,16.71
201209.0,223.79,10396006.0,150172.04,12.32,1.67,11.32,14.26,1.16,15.72,170.05,16.71
201210.0,210.96,10170433.0,141562.6,12.32,1.67,11.32,14.26,1.16,15.72,170.05,16.71
201211.0,217.01,8312201.0,145619.04,12.32,1.67,11.32,14.26,1.16,15.72,170.05,16.71
201212.0,238.38,7509962.0,159959.16,12.32,1.67,11.32,14.26,1.16,15.72,170.05,16.71
201301.0,243.66,7875139.0,163505.61,10.33,1.43,9.54,14.15,1.04,15.43,200.71,20.02
201302.0,208.54,7702485.0,139938.68,10.33,1.43,9.54,14.15,1.04,15.43,200.71,20.02
201303.0,207.28,7880166.0,141782.32,10.33,1.43,9.54,14.15,1.04,15.43,200.71,20.02
201304.0,226.42,6149833.0,154878.07,10.33,1.43,9.54,14.15,1.04,15.43,200.71,20.02
201305.0,204.77,9457988.0,140068.82,10.33,1.43,9.54,14.15,1.04,15.43,200.71,20.02
201306.0,195.36,9087328.0,133632.1,10.33,1.43,9.54,14.15,1.04,15.43,200.71,20.02
201307.0,170.99,9726358.0,116958.87,10.33,1.43,9.54,14.15,1.04,15.43,200.71,20.02
201308.0,151.44,11163104.0,103589.5,10.33,1.43,9.54,14.15,1.04,15.43,200.71,20.02
201309.0,161.53,9392687.0,110487.95,10.33,1.43,9.54,14.15,1.04,15.43,200.71,20.02
201310.0,179.55,8180362.0,122817.59,10.33,1.43,9.54,14.15,1.04,15.43,200.71,20.02
201311.0,182.15,8186947.0,124596.06,10.33,1.43,9.54,14.15,1.04,15.43,200.71,20.02
201312.0,176.55,5321886.0,120765.5,10.33,1.43,9.54,14.15,1.04,15.43,200.71,20.02
201401.0,152.56,5294461.0,106067.34,13.52,1.21,12.01,14.84,0.92,10.03,141.88,15.64
201402.0,153.17,7200365.0,114352.13,13.52,1.21,12.01,14.84,0.92,10.03,141.88,15.64
201403.0,191.83,6067726.0,143214.52,13.52,1.21,12.01,14.84,0.92,10.03,141.88,15.64
201404.0,207.9,4623257.0,155208.17,13.52,1.21,12.01,14.84,0.92,10.03,141.88,15.64
