Date,Close,Volume,MarketCap,PriceToEarn,PriceToBook,PriceToCash,EV,MarketCapToSales,ROE,EPS,DIV
201612.0,2361.95,1180000.0,465405.23,23.35,8.42,21.75,16.0,5.77,43.89,107.77,0.0
201611.0,2276.75,3258480.0,448617.18,23.35,8.42,21.75,16.0,5.77,43.89,107.77,0.0
201610.0,2394.6,2096477.0,471838.67,23.35,8.42,21.75,16.0,5.77,43.89,107.77,0.0
201609.0,2427.2,3997517.0,478262.27,23.35,8.42,21.75,16.0,5.77,43.89,107.77,0.0
201608.0,2512.55,1211478.0,495079.87,23.35,8.42,21.75,16.0,5.77,43.89,107.77,0.0
201607.0,2618.55,1382846.0,515966.41,23.35,8.42,21.75,16.0,5.77,43.89,107.77,0.0
201606.0,2550.8,1303910.0,502616.76,23.35,8.42,21.75,16.0,5.77,43.89,107.77,0.0
201605.0,2575.1,1263930.0,507404.9,23.35,8.42,21.75,16.0,5.77,43.89,107.77,0.0
201604.0,2530.05,1744830.0,498528.12,23.35,8.42,21.75,16.0,5.77,43.89,107.77,0.0
201603.0,2516.05,1087795.0,495769.52,23.35,8.42,21.75,16.0,5.77,43.89,107.77,0.0
201602.0,2181.9,2318321.0,429927.67,23.35,8.42,21.75,16.0,5.77,43.89,107.77,0.0
201601.0,2391.2,1609051.0,471168.73,23.35,8.42,21.75,16.0,5.77,43.89,107.77,0.0
201512.0,2439.2,1540410.0,480619.97,29.94,10.98,27.63,18.55,6.78,43.05,85.08,0.0
201511.0,2365.25,1240003.0,466048.86,29.94,10.98,27.63,18.55,6.78,43.05,85.08,0.0
201510.0,2497.3,1945200.0,492067.99,29.94,10.98,27.63,18.55,6.78,43.05,85.08,0.0
201509.0,2587.7,988569.0,506852.8,29.94,10.98,27.63,18.55,6.78,43.05,85.08,0.0
201508.0,2565.25,1095999.0,502455.52,29.94,10.98,27.63,18.55,6.78,43.05,85.08,0.0
201507.0,2510.0,1463153.0,491633.7,29.94,10.98,27.63,18.55,6.78,43.05,85.08,0.0
201506.0,2552.2,1116353.0,499899.41,29.94,10.98,27.63,18.55,6.78,43.05,85.08,0.0
201505.0,2610.6,2734559.0,511338.22,29.94,10.98,27.63,18.55,6.78,43.05,85.08,0.0
201504.0,2466.65,2452454.0,483142.74,29.94,10.98,27.63,18.55,6.78,43.05,85.08,0.0
201503.0,2547.05,1423069.0,498890.68,29.94,10.98,27.63,18.55,6.78,43.05,85.08,0.0
201502.0,2675.3,1611720.0,524011.01,29.94,10.98,27.63,18.55,6.78,43.05,85.08,0.0
201501.0,2481.0,2486487.0,485953.47,29.94,10.98,27.63,18.55,6.78,43.05,85.08,0.0
201412.0,2554.7,1253975.0,500389.09,23.61,9.46,22.25,16.41,6.45,48.22,90.15,0.0
201411.0,2643.1,980896.0,517704.0,23.61,9.46,22.25,16.41,6.45,48.22,90.15,0.0
201410.0,2604.55,2510523.0,510153.21,23.61,9.46,22.25,16.41,6.45,48.22,90.15,0.0
201409.0,2738.2,1523230.0,536331.23,23.61,9.46,22.25,16.41,6.45,48.22,90.15,0.0
201408.0,2524.6,1342004.0,494493.4,23.61,9.46,22.25,16.41,6.45,48.22,90.15,0.0
201407.0,2577.3,1413667.0,504815.75,23.61,9.46,22.25,16.41,6.45,48.22,90.15,0.0
201406.0,2419.45,2058687.0,473897.67,23.61,9.46,22.25,16.41,6.45,48.22,90.15,0.0
201405.0,2144.2,3019206.0,419984.45,23.61,9.46,22.25,16.41,6.45,48.22,90.15,0.0
201404.0,2189.4,1874192.0,428837.78,23.61,9.46,22.25,16.41,6.45,48.22,90.15,0.0
201403.0,2128.25,3348870.0,416860.33,23.61,9.46,22.25,16.41,6.45,48.22,90.15,0.0
201402.0,2272.8,1485563.0,445173.34,23.61,9.46,22.25,16.41,6.45,48.22,90.15,0.0
201401.0,2236.2,2778322.0,438004.49,23.61,9.46,22.25,16.41,6.45,48.22,90.15,0.0
201312.0,2170.95,2052348.0,425223.98,25.52,9.48,23.93,18.37,6.35,44.63,61.59,0.0
201311.0,2004.6,1490123.0,392641.0,25.52,9.48,23.93,18.37,6.35,44.63,61.59,0.0
201310.0,2108.25,3278043.0,412942.93,25.52,9.48,23.93,18.37,6.35,44.63,61.59,0.0
201309.0,1926.7,2536159.0,377093.72,25.52,9.48,23.93,18.37,6.35,44.63,61.59,0.0
201308.0,2023.15,3152017.0,395970.92,25.52,9.48,23.93,18.37,6.35,44.63,61.59,0.0
201307.0,1815.1,3459215.0,355251.37,25.52,9.48,23.93,18.37,6.35,44.63,61.59,0.0
201306.0,1518.4,1973093.0,297181.25,25.52,9.48,23.93,18.37,6.35,44.63,61.59,0.0
201305.0,1499.6,2090831.0,293501.71,25.52,9.48,23.93,18.37,6.35,44.63,61.59,0.0
201304.0,1376.25,3260032.0,269359.65,25.52,9.48,23.93,18.37,6.35,44.63,61.59,0.0
201303.0,1571.8,1876234.0,307632.7,25.52,9.48,23.93,18.37,6.35,44.63,61.59,0.0
201302.0,1514.75,2978109.0,296466.87,25.52,9.48,23.93,18.37,6.35,44.63,61.59,0.0
201301.0,1342.75,3123421.0,262803.03,25.52,9.48,23.93,18.37,6.35,44.63,61.59,0.0
201212.0,1258.55,2364528.0,246323.41,22.51,9.23,21.08,16.02,6.0,49.53,51.89,0.0
201211.0,1312.85,1138805.0,256951.0,22.51,9.23,21.08,16.02,6.0,49.53,51.89,0.0
201210.0,1313.4,1915665.0,257058.65,22.51,9.23,21.08,16.02,6.0,49.53,51.89,0.0
201209.0,1294.0,2414184.0,253261.68,22.51,9.23,21.08,16.02,6.0,49.53,51.89,0.0
201208.0,1347.3,1930023.0,263693.56,22.51,9.23,21.08,16.02,6.0,49.53,51.89,0.0
201207.0,1240.65,6050386.0,242820.02,22.51,9.23,21.08,16.02,6.0,49.53,51.89,0.0
201206.0,1277.55,2325029.0,250042.09,22.51,9.23,21.08,16.02,6.0,49.53,51.89,0.0
201205.0,1245.8,3992227.0,243827.98,22.51,9.23,21.08,16.02,6.0,49.53,51.89,0.0
201204.0,1244.9,4529463.0,243651.83,22.51,9.23,21.08,16.02,6.0,49.53,51.89,0.0
201203.0,1167.85,2180648.0,228571.6,22.51,9.23,21.08,16.02,6.0,49.53,51.89,0.0
201202.0,1221.05,2601987.0,238983.91,22.51,9.23,21.08,16.02,6.0,49.53,51.89,0.0
201201.0,1130.5,4252739.0,221261.46,22.51,9.23,21.08,16.02,6.0,49.53,51.89,0.0
201112.0,1161.25,3202346.0,227279.85,32.56,11.88,30.27,24.67,7.91,43.83,36.32,0.0
201111.0,1113.1,2998121.0,217855.93,32.56,11.88,30.27,24.67,7.91,43.83,36.32,0.0
201110.0,1114.2,5402851.0,218071.22,32.56,11.88,30.27,24.67,7.91,43.83,36.32,0.0
201109.0,1037.5,4802182.0,203059.5,32.56,11.88,30.27,24.67,7.91,43.83,36.32,0.0
201108.0,1040.6,6350253.0,203666.23,32.56,11.88,30.27,24.67,7.91,43.83,36.32,0.0
201107.0,1134.45,3212450.0,222034.55,32.56,11.88,30.27,24.67,7.91,43.83,36.32,0.0
201106.0,1180.35,2845829.0,231018.1,32.56,11.88,30.27,24.67,7.91,43.83,36.32,0.0
201105.0,1158.8,2855679.0,226800.34,32.56,11.88,30.27,24.67,7.91,43.83,36.32,0.0
201104.0,1163.6,6222585.0,227739.79,32.56,11.88,30.27,24.67,7.91,43.83,36.32,0.0
201103.0,1182.5,4325660.0,231438.9,32.56,11.88,30.27,24.67,7.91,43.83,36.32,0.0
201102.0,1112.95,3916850.0,217826.57,32.56,11.88,30.27,24.67,7.91,43.83,36.32,0.0
201101.0,1157.15,3987730.0,226477.4,32.56,11.88,30.27,24.67,7.91,43.83,36.32,0.0
201012.0,1165.05,3272889.0,228023.59,30.91,10.18,28.23,21.82,6.63,39.5,25.26,0.0
201011.0,1076.7,2676651.0,210731.72,30.91,10.18,28.23,21.82,6.63,39.5,25.26,0.0
201010.0,1051.8,6164277.0,205858.3,30.91,10.18,28.23,21.82,6.63,39.5,25.26,0.0
201009.0,922.55,6040462.0,180561.49,30.91,10.18,28.23,21.82,6.63,39.5,25.26,0.0
201008.0,843.85,4656158.0,165158.32,30.91,10.18,28.23,21.82,6.63,39.5,25.26,0.0
201007.0,841.1,7957621.0,164620.09,30.91,10.18,28.23,21.82,6.63,39.5,25.26,0.0
201006.0,751.15,3263975.0,147015.08,30.91,10.18,28.23,21.82,6.63,39.5,25.26,0.0
201005.0,742.0,4366667.0,145224.24,30.91,10.18,28.23,21.82,6.63,39.5,25.26,0.0
201004.0,766.0,6482257.0,149921.52,30.91,10.18,28.23,21.82,6.63,39.5,25.26,0.0
201003.0,780.8,5917109.0,152818.18,30.91,10.18,28.23,21.82,6.63,39.5,25.26,0.0
201002.0,761.0,3454091.0,148942.92,30.91,10.18,28.23,21.82,6.63,39.5,25.26,0.0
201001.0,735.45,8441864.0,143942.27,30.91,10.18,28.23,21.82,6.63,39.5,25.26,0.0
